"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Get file","LMS service","Sun Nov 09 07:37:41 UTC 2025","passed","Sun Nov 09 07:37:41 UTC 2025","Get entity","Files","",""
"","296","Delete exercise","LMS service","Sun Nov 09 07:37:39 UTC 2025","passed","Sun Nov 09 07:37:39 UTC 2025","Delete entity","Exercises","",""
"","265","Create file with empty filename","LMS service","Sun Nov 09 07:37:41 UTC 2025","passed","Sun Nov 09 07:37:41 UTC 2025","Validate entity","Files","",""
"","265","Create file with empty directory","LMS service","Sun Nov 09 07:37:42 UTC 2025","passed","Sun Nov 09 07:37:42 UTC 2025","Validate entity","Files","",""
"","288","Create user","LMS service","Sun Nov 09 07:37:43 UTC 2025","passed","Sun Nov 09 07:37:43 UTC 2025","Create entity","Users","",""
"","286","Update exercise","LMS service","Sun Nov 09 07:37:38 UTC 2025","passed","Sun Nov 09 07:37:38 UTC 2025","Update entity","Exercises","",""
"","17","Get exercises","LMS service","Sun Nov 09 07:37:39 UTC 2025","passed","Sun Nov 09 07:37:40 UTC 2025","Get entities","Exercises","",""
"","29","Get courses","LMS service","Sun Nov 09 07:37:35 UTC 2025","passed","Sun Nov 09 07:37:35 UTC 2025","Get entities","Courses","",""
"","562","Create user","LMS service","Sun Nov 09 07:37:43 UTC 2025","passed","Sun Nov 09 07:37:44 UTC 2025","Create entity","Users","",""
"","543","Create user","LMS service","Sun Nov 09 07:37:42 UTC 2025","passed","Sun Nov 09 07:37:43 UTC 2025","Create entity","Users","",""
"","18","Get exercise","LMS service","Sun Nov 09 07:37:38 UTC 2025","passed","Sun Nov 09 07:37:38 UTC 2025","Get entity","Exercises","",""
"","28","Update course","LMS service","Sun Nov 09 07:37:36 UTC 2025","passed","Sun Nov 09 07:37:36 UTC 2025","Update entity","Courses","",""
"","21","Create exercise","LMS service","Sun Nov 09 07:37:37 UTC 2025","passed","Sun Nov 09 07:37:37 UTC 2025","Create entity","Exercises","",""
"","265","Create file","LMS service","Sun Nov 09 07:37:40 UTC 2025","passed","Sun Nov 09 07:37:40 UTC 2025","Create entity","Files","",""
"","11","Get user me","LMS service","Sun Nov 09 07:37:44 UTC 2025","passed","Sun Nov 09 07:37:44 UTC 2025","Get entity","Users","",""
"","20","Delete file","LMS service","Sun Nov 09 07:37:42 UTC 2025","passed","Sun Nov 09 07:37:42 UTC 2025","Delete entity","Files","",""
"","249","Get file with incorrect file id","LMS service","Sun Nov 09 07:37:43 UTC 2025","passed","Sun Nov 09 07:37:43 UTC 2025","Validate entity","Files","",""
"","285","Login with correct email and password","LMS service","Sun Nov 09 07:37:34 UTC 2025","passed","Sun Nov 09 07:37:35 UTC 2025","Login","Authentication","",""
"","25","Create course","LMS service","Sun Nov 09 07:37:36 UTC 2025","passed","Sun Nov 09 07:37:36 UTC 2025","Create entity","Courses","",""
